cat_num,Latitude,Longitude,quality,link,num_syllables,freq_range_mm,duration_mm,two_khz_mm,two_sec_mm,skip_notes,group_letter,group_members
251148431,42.3101677,-76.5216895,4,https://macaulaylibrary.org/asset/251148431,10,6,155,190,130,,E,
250167351,39.709226,-78.198798,3,https://macaulaylibrary.org/asset/250167351,22,13,150,190,130,,E,
250166961,39.709226,-78.198798,3,https://macaulaylibrary.org/asset/250166961,20,15,157,190,130,,E,
249903401,38.1685,-77.189,3,https://macaulaylibrary.org/asset/249903401,15,6,161,190,130,,E,
249903251,38.1685,-77.189,3,https://macaulaylibrary.org/asset/249903251,9,18,164,190,130,,E,
249556361,43.223801,-70.6914961,3,https://macaulaylibrary.org/asset/249556361,7,9,122,190,130,,E,
249166641,36.4876667,-87.0011862,3,https://macaulaylibrary.org/asset/249166641,13,8,85,190,130,,E,
248803581,39.15126,-86.39579,3,https://macaulaylibrary.org/asset/248803581,7,5,80,190,130,,E,
248643851,44.82732,-79.672107,4,https://macaulaylibrary.org/asset/248643851,11,3,125,190,130,,E,
461926531,41.6348,-70.5608,5,https://macaulaylibrary.org/asset/461926531,,,,,,N/A,M,Miguel
461876401,41.30995,-88.9664,3,https://macaulaylibrary.org/asset/461876401,,,,,,N/A,M,Miguel
461861471,35.70821,-87.2173,4,https://macaulaylibrary.org/asset/461861471,7,5,60,7,80,,M,Miguel
461762451,41.6588,-87.9223,3,https://macaulaylibrary.org/asset/461762451,12,7,61,7,80,,M,Miguel
461716101,41.36373,-71.6699,4,https://macaulaylibrary.org/asset/461716101,12,7,68,7,80,,M,Miguel
461508141,39.43858,-76.2213,3,https://macaulaylibrary.org/asset/461508141,15,9,85,7,80,,M,Miguel
461326521,42.46591,-78.564,4,https://macaulaylibrary.org/asset/461326521,13,7,75,7,80,,M,Miguel
461289781,38.82111,-77.5469,5,https://macaulaylibrary.org/asset/461289781,12,7,100,7,80,,M,Miguel
461249681,44.54344,-70.1625,5,https://macaulaylibrary.org/asset/461249681,14,9,78,7,80,,M,Miguel
461235921,36.54502,-83.4642,5,https://macaulaylibrary.org/asset/461235921,16,7,78,7,80,,M,Miguel
459396691,42.4485888,-73.8923353,5,https://macaulaylibrary.org/asset/459396691,16,9,108,10,120,,M,Zahra
459321721,43.1340968,-85.193574,5,https://macaulaylibrary.org/asset/459321721,13,19,110,10,120,,M,Zahra
459252051,43.134101,-85.19332,4,https://macaulaylibrary.org/asset/459252051,14,18,115,10,120,,M,Zahra
459173361,43.1349828,-85.1930872,5,https://macaulaylibrary.org/asset/459173361,13,18,110,10,120,,M,Zahra
459126701,44.5201817,-76.2897943,3,https://macaulaylibrary.org/asset/459126701,NA,NA,NA,NA,NA,The song is not recorded clearly so the measurements will not be accurate. ,M,Zahra
459003421,32.763541,-94.477647,4,https://macaulaylibrary.org/asset/459003421,8,11,152,10,120,,M,Zahra
